Season,Lg,Tm,W,L,Finish,Age,Ht.,Wt.,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015-16,NBA,LAC,40,20,2,29.7,6-6,217,60,242.1,38.4,83.2,.462,9.6,26.4,.362,28.9,56.8,.509,18.5,26.7,.694,9.3,33.6,42.9,22.7,8.3,5.4,13.0,21.5,104.9
2014-15,NBA,LAC,56,26,2,28.8,6-6,220,82,240.6,39.4,83.3,.473,10.1,26.9,.376,29.3,56.4,.519,17.9,25.2,.710,9.6,33.1,42.6,24.8,7.8,5.0,12.3,21.3,106.7
2013-14,NBA,LAC,57,25,1,28.1,6-6,215,82,240.9,39.1,82.5,.474,8.5,24.0,.352,30.7,58.5,.525,21.2,29.1,.730,10.5,32.5,43.0,24.6,8.6,4.8,13.9,21.5,107.9
2012-13,NBA,LAC,56,26,1,28.8,6-6,217,82,240.6,38.5,80.6,.478,7.6,21.4,.358,30.9,59.2,.522,16.4,23.0,.711,11.4,30.2,41.6,23.9,9.6,5.6,14.6,20.9,101.1
2011-12,NBA,LAC,40,26,2,27.3,6-5,218,66,241.9,37.0,81.3,.455,7.8,21.8,.357,29.2,59.5,.490,15.8,23.3,.680,12.1,29.4,41.6,21.0,8.4,4.8,13.3,21.2,97.5
2010-11,NBA,LAC,32,50,4,24.6,6-6,229,82,242.1,36.8,80.4,.457,6.3,18.5,.338,30.5,61.9,.493,18.9,26.7,.707,11.6,30.5,42.1,22.1,7.1,4.9,16.4,21.1,98.6
2009-10,NBA,LAC,29,53,3,27.3,6-7,222,82,240.3,36.6,80.5,.455,5.9,17.8,.332,30.7,62.7,.490,16.6,22.8,.730,11.3,30.5,41.8,22.1,6.5,5.7,15.7,19.3,95.7
2008-09,NBA,LAC,19,63,4,26.6,6-6,222,82,242.4,36.0,81.7,.441,6.5,18.5,.354,29.5,63.2,.467,16.5,22.4,.736,10.9,29.0,39.8,21.0,7.0,5.9,14.9,20.1,95.1
2007-08,NBA,LAC,23,59,5,28.5,6-6,214,82,241.5,34.4,78.6,.438,4.3,13.2,.324,30.1,65.4,.460,20.8,26.6,.781,9.8,30.4,40.1,21.1,6.8,4.9,14.4,21.3,93.8
2006-07,NBA,LAC,40,42,4,27.5,6-6,220,82,240.6,35.1,77.0,.456,3.8,11.0,.348,31.3,66.0,.474,21.6,27.4,.788,10.8,30.3,41.1,21.5,7.3,5.8,15.1,22.7,95.6
2005-06,NBA,LAC,47,35,2,26.8,6-7,220,82,241.5,36.5,78.6,.465,3.5,10.3,.344,33.0,68.3,.483,20.7,26.1,.791,10.1,33.0,43.1,20.8,6.5,6.1,14.5,22.8,97.2
2004-05,NBA,LAC,37,45,3,25.5,6-7,222,82,244.3,35.7,77.7,.459,2.8,8.2,.345,32.8,69.5,.473,21.6,27.7,.778,12.0,29.9,41.9,23.2,7.3,5.1,15.7,22.2,95.7
2003-04,NBA,LAC,28,54,7,24.3,6-7,228,82,241.5,34.4,80.2,.428,4.0,12.5,.321,30.3,67.7,.448,22.0,28.1,.785,14.0,29.5,43.5,20.2,7.2,4.6,16.4,22.1,94.8
2002-03,NBA,LAC,27,55,7,25.3,6-7,229,82,240.9,34.6,79.1,.437,4.8,14.4,.331,29.8,64.8,.460,19.9,26.5,.750,12.3,30.0,42.3,19.6,7.0,5.6,15.7,21.8,93.8
2001-02,NBA,LAC,39,43,5,24.4,6-7,227,82,241.5,36.2,81.3,.445,5.0,14.0,.356,31.2,67.3,.464,18.3,24.7,.739,13.2,30.2,43.4,20.9,6.2,6.6,14.8,19.8,95.7
2000-01,NBA,LAC,31,51,6,24.3,6-7,221,82,244.3,35.3,78.9,.448,4.4,13.0,.339,30.9,65.9,.469,17.4,25.1,.693,11.7,31.2,42.9,19.3,6.0,6.3,15.8,21.6,92.5
1999-00,NBA,LAC,15,67,7,24.2,6-7,222,82,240.3,35.1,82.4,.426,5.2,15.5,.339,29.9,67.0,.446,16.6,22.3,.746,11.6,29.0,40.6,18.0,7.0,6.0,16.2,22.2,92.0
1998-99,NBA,LAC,9,41,7,25.0,6-6,223,50,242.5,34.2,80.1,.427,4.3,13.4,.320,29.9,66.8,.448,17.7,24.5,.721,13.3,25.9,39.2,16.4,8.5,4.7,15.9,24.5,90.4
1997-98,NBA,LAC,17,65,7,25.7,6-6,217,82,241.2,35.7,81.6,.438,6.4,17.9,.358,29.3,63.7,.461,18.0,25.0,.723,12.7,27.8,40.4,18.7,7.6,5.6,16.1,22.3,95.9
1996-97,NBA,LAC,36,46,5,25.5,6-6,212,82,243.0,36.5,81.7,.446,5.8,16.3,.354,30.7,65.3,.469,18.5,25.3,.731,13.3,27.3,40.7,20.3,8.9,5.4,16.0,24.0,97.2
1995-96,NBA,LAC,29,53,7,25.2,6-6,216,82,240.6,38.1,80.7,.472,6.2,16.8,.370,31.9,64.0,.499,17.0,24.2,.702,11.9,26.7,38.6,20.4,8.6,5.0,16.5,24.5,99.4
1994-95,NBA,LAC,17,65,7,24.9,6-6,211,82,242.4,37.3,84.0,.444,4.0,12.8,.315,33.3,71.2,.468,18.0,25.4,.710,13.0,25.3,38.3,22.0,9.6,5.3,16.3,26.2,96.7
1993-94,NBA,LAC,27,55,7,27.0,6-6,213,82,241.2,40.8,87.4,.467,3.1,10.1,.303,37.7,77.2,.488,18.4,26.0,.709,13.7,29.4,43.0,26.5,9.8,5.1,18.0,21.6,103.0
1992-93,NBA,LAC,41,41,4,26.7,6-6,213,82,241.5,43.2,89.4,.484,1.6,6.0,.271,41.6,83.4,.499,19.0,26.5,.718,14.4,28.8,43.2,27.3,10.3,6.0,16.3,23.4,107.1
1991-92,NBA,LAC,45,37,5,27.3,6-7,207,82,241.8,40.8,86.3,.473,1.8,6.1,.289,39.0,80.2,.487,19.5,27.1,.720,13.8,29.2,43.0,25.0,10.0,6.1,15.5,22.8,102.9
1990-91,NBA,LAC,31,51,6,25.1,6-7,210,82,241.5,41.4,89.2,.464,1.4,5.3,.260,40.0,83.9,.476,19.5,27.7,.702,15.2,30.5,45.7,25.8,8.8,6.2,17.5,24.9,103.5
1989-90,NBA,LAC,30,52,6,24.5,6-7,212,82,241.5,40.5,83.6,.484,0.7,2.8,.243,39.8,80.8,.493,22.1,30.0,.738,12.9,28.8,41.7,24.1,9.5,6.2,18.9,22.7,103.8
1988-89,NBA,LAC,21,61,7,24.6,6-7,211,82,242.1,43.0,90.6,.475,0.7,2.9,.231,42.3,87.7,.483,19.6,27.1,.723,14.1,29.1,43.2,26.9,9.9,6.5,20.3,23.6,106.2
1987-88,NBA,LAC,17,65,6,26.2,6-6,209,82,241.5,38.9,87.7,.443,1.0,3.9,.249,37.9,83.9,.452,20.0,28.1,.713,14.5,28.7,43.2,23.0,8.8,6.3,18.7,23.3,98.8
1986-87,NBA,LAC,12,70,6,26.2,6-6,208,82,241.2,40.4,89.4,.452,1.0,4.2,.224,39.4,85.2,.463,22.8,30.7,.742,15.0,26.1,41.1,24.0,9.2,5.3,18.2,24.4,104.5
1985-86,NBA,LAC,32,50,4,27.0,6-7,209,82,240.9,41.3,87.4,.473,0.8,2.8,.279,40.5,84.6,.479,25.2,32.7,.770,14.1,27.5,41.7,24.0,8.5,6.1,18.4,23.5,108.6
1984-85,NBA,LAC,31,51,5,27.3,6-7,212,82,240.6,43.0,86.8,.495,0.7,2.3,.298,42.3,84.5,.501,20.4,26.9,.758,14.2,29.7,43.9,23.6,6.5,6.1,19.4,22.4,107.1
1983-84,NBA,SDC,30,52,6,25.5,6-7,209,82,240.6,44.3,89.3,.496,0.3,1.6,.188,44.0,87.8,.502,21.8,29.6,.736,15.9,29.0,45.0,24.2,6.9,4.7,18.5,24.6,110.7
1982-83,NBA,SDC,25,57,6,24.8,6-6,206,82,241.8,44.2,93.1,.475,0.8,3.2,.244,43.4,89.9,.483,19.4,26.8,.724,17.0,25.7,42.7,25.5,10.0,5.0,19.5,27.9,108.6
1981-82,NBA,SDC,17,65,6,25.4,6-6,202,82,240.9,43.3,86.6,.500,1.2,4.1,.293,42.1,82.5,.511,20.6,28.5,.723,13.8,26.8,40.6,22.9,7.8,3.6,19.1,28.7,108.5
1980-81,NBA,SDC,36,46,5,27.6,6-6,205,82,240.6,42.4,88.8,.477,1.6,5.0,.324,40.8,83.9,.486,20.1,27.4,.735,14.3,26.1,40.4,25.6,9.3,3.6,17.2,25.3,106.5
1979-80,NBA,SDC,35,47,5,27.6,6-6,202,82,240.9,43.0,91.4,.470,2.2,6.6,.326,40.8,84.8,.482,19.5,26.4,.736,15.8,28.1,43.9,20.6,8.1,3.5,17.6,23.1,107.6
